City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cabo san lucas,22.8909,-109.9124,26.45,68,67,1.79,MX,1709682576
1,kerikeri,-35.2268,173.9474,21.62,68,62,0.45,NZ,1709683030
2,avarua,-21.2078,-159.775,29.03,70,20,5.66,CK,1709682909
3,jalna,19.8333,75.8833,21.88,23,59,3.15,IN,1709683334
4,isafjordur,66.0755,-23.124,1.88,79,100,2.91,IS,1709682911
5,rehoboth,-23.3167,17.0833,18.77,20,0,2.83,NA,1709682943
6,garissa,-0.4536,39.6401,27.48,72,25,4.47,KE,1709683335
7,port mathurin,-19.6833,63.4167,25.99,73,63,8.43,MU,1709682907
8,lompoc,34.6391,-120.4579,18.77,64,0,5.66,US,1709682821
9,papatowai,-46.5619,169.4708,15.47,58,96,4.16,NZ,1709682924
10,puerto natales,-51.7236,-72.4875,9.7,96,100,1.7,CL,1709682906
11,port alfred,-33.5906,26.891,16.21,77,35,0.89,ZA,1709682992
12,tralee,52.2704,-9.7026,9.56,85,80,6.42,IE,1709682989
13,enewetak,11.3474,162.3373,26.28,82,83,10.85,MH,1709682961
14,haiku-pauwela,20.9219,-156.3051,25.01,69,40,10.29,US,1709682973
15,invercargill,-46.4,168.35,15.57,71,98,4.47,NZ,1709682920
16,qamdo,31.1667,97.2333,-6.48,63,96,3.23,CN,1709682978
17,san luis,-33.295,-66.3356,22.21,51,35,5.35,AR,1709682773
18,klaksvik,62.2266,-6.589,7.51,88,100,14.89,FO,1709682981
19,petropavlovsk-kamchatsky,53.0452,158.6483,-6.67,82,20,6.26,RU,1709682953
20,tiksi,71.6872,128.8694,-21.35,99,100,2.52,RU,1709682925
21,mildura,-34.2,142.15,28.93,34,100,0.75,AU,1709683306
22,bethel,41.3712,-73.414,8.44,88,100,2.06,US,1709682921
23,obo,5.3998,26.4869,24.25,20,100,1.14,CF,1709683338
24,waitangi,-43.9535,-176.5597,15.46,86,56,2.24,NZ,1709682913
25,bredasdorp,-34.5322,20.0403,15.36,72,48,0.56,ZA,1709682923
26,uturoa,-16.7333,-151.4333,28.47,76,99,4.38,PF,1709682915
27,longyearbyen,78.2186,15.6401,-3.09,100,100,4.12,SJ,1709682969
28,princeville,45.7668,-61.2985,1.35,91,100,4.12,CA,1709683339
29,vientiane,17.9667,102.6,21.69,77,98,2.06,LA,1709683220
30,grytviken,-54.2811,-36.5092,1.78,77,63,2.42,GS,1709682916
31,pasuquin,18.3328,120.6177,22.97,94,75,2.06,PH,1709683340
32,greymouth,-42.4667,171.2,15.18,64,84,2.51,NZ,1709682974
33,port-aux-francais,-49.35,70.2167,5.58,72,93,14.11,TF,1709682910
34,blackmans bay,-43.0167,147.3167,22.07,52,0,0.45,AU,1709682906
35,hawaiian paradise park,19.5933,-154.9731,25.73,75,20,5.14,US,1709682647
36,yellowknife,62.456,-114.3525,-15.33,80,75,2.57,CA,1709682931
37,purpe,64.4803,76.6897,-17.07,96,100,6.77,RU,1709683342
38,sisimiut,66.9395,-53.6735,-16.61,91,86,3.18,GL,1709682942
39,qarqaraly,49.4058,75.4742,-18.42,84,6,3.26,KZ,1709683343
40,jamestown,42.097,-79.2353,13.59,93,93,1.34,US,1709683332
41,qaqortoq,60.7167,-46.0333,-12.11,91,79,1.72,GL,1709682909
42,pacific grove,36.6177,-121.9166,17.42,73,100,7.15,US,1709682968
43,chui,-33.6971,-53.4616,15.63,69,2,4.09,UY,1709683344
44,ushuaia,-54.8,-68.3,13.81,58,75,3.6,AR,1709682927
45,saipan,15.1355,145.701,28.39,69,40,6.17,MP,1709682941
46,dhidhdhoo,6.8833,73.1,28.32,74,51,3.85,MV,1709683345
47,bairnsdale,-37.8333,147.6167,29.16,29,95,1.76,AU,1709683346
48,ciudad bolivar,8.1222,-63.5497,33.47,33,43,5.06,VE,1709683346
49,maxixe,-23.8597,35.3472,25.0,93,17,3.81,MZ,1709683347
50,kachkanar,58.7,59.4948,-24.07,100,33,2.25,RU,1709683347
51,adamstown,-25.066,-130.1015,24.51,66,15,3.48,PN,1709682918
52,davos,46.8043,9.8372,-2.05,97,100,2.21,CH,1709683348
53,amga,60.8953,131.9608,-24.65,100,100,0.22,RU,1709683348
54,melfort,52.8667,-104.6177,-16.93,46,37,1.54,CA,1709683348
55,luau,-10.7073,22.2247,18.06,97,51,0.81,AO,1709683349
56,wailua homesteads,22.0669,-159.378,26.24,67,20,8.23,US,1709682947
57,talnakh,69.4865,88.3972,-14.33,92,77,1.75,RU,1709682927
58,lissewege,51.2941,3.1983,7.99,78,100,2.52,BE,1709683349
59,plouzane,48.3833,-4.6167,7.03,87,0,3.6,FR,1709683350
